source_row	reason	year	doi	title	why	matched_record_id	matched_doi	matched_title	matched_source_row
3	corpus_doi_duplicate	2026	10.3390/foods15040783	Standardising Culture Medium Safety Testing for Cultivated Meat: Outputs from a Workshop and Case Study	Culture medium safety testing focus	R010	10.3390/foods15040783	Standardising Culture Medium Safety Testing for Cultivated Meat: Outputs from a Workshop and Case Study	
9	corpus_doi_duplicate	2026	10.1016/j.fufo.2026.100908	Cell culture media for cultivated meat: Review and perspectives on first principles design to drive cost-effective scale-up	Review of cell culture media for CM	R001	10.1016/j.fufo.2026.100908	Cell culture media for cultivated meat: Review and perspectives on first principles design to drive cost-effective scale-up	
33	corpus_doi_duplicate	2025	10.1021/acsfoodscitech.5c00023	Sustainable Alternatives to Fetal Bovine Serum: Evaluating the Role of Plant and Insect Protein Isolates in Serum-Free Media for Bovine Satellite Cell Proliferation in Cultivated Meat Production	Serum-free media with protein isolates	R024	10.1021/acsfoodscitech.5c00023	Sustainable alternatives to fetal bovine serum: evaluating the role of plant and insect protein isolates in serum-free media for bovine satellite cell proliferation in cultivated meat production	
43	corpus_doi_duplicate	2025	10.1016/j.foodres.2024.115633	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	Microbial lysates as serum replacement	R045	10.1016/j.foodres.2024.115633	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	
48	corpus_doi_duplicate	2025	10.1038/s41598-025-99603-7	Low-cost food-grade alternatives for serum albumins in FBS-free cell culture media	Serum albumin alternatives in FBS-free media	R022	10.1038/s41598-025-99603-7	Low-cost food-grade alternatives for serum albumins in FBS-free cell culture media	
49	corpus_doi_duplicate	2025	10.1016/j.isci.2025.113242	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	Recombinant albumin as serum replacement for satellite cells	R046	10.1016/j.isci.2025.113242	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	
53	corpus_doi_duplicate	2025	10.1016/j.crfs.2024.100943	Serum markers for beef meat quality: Potential media supplement for cell-cultured meat production	Serum markers as medium supplement	R037	10.1016/j.crfs.2024.100943	Potential media supplement for cell-cultured meat production	
58	corpus_doi_duplicate	2025	10.1016/j.foodres.2025.117016	Serum-free media for cultured meat: insights into protein hydrolysates as proliferation enhancers	Serum-free media, hydrolysates review	R008	10.1016/j.foodres.2025.117016	Serum-free media for cultured meat: insights into protein hydrolysates as proliferation enhancers	
96	corpus_doi_duplicate	2024	10.1111/1541-4337.13350	A review on the safety of growth factors commonly used in cultivated meat production	Safety review of growth factors for medium	R014	10.1111/1541-4337.13350	A review on the safety of growth factors commonly used in cultivated meat	
98	corpus_doi_duplicate	2024	10.1038/s43016-024-01022-w	Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium	Animal-free medium for continuous chicken cell culture	R034	10.1038/s43016-024-01022-w	Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium	
100	corpus_doi_duplicate	2024	10.1016/j.crsus.2023.100009	Engineered autocrine signaling eliminates muscle cell FGF2 requirements for cultured meat production	Engineered autocrine signaling eliminates FGF2 requirement	R035	10.1016/j.crsus.2023.100009	Engineered autocrine signaling eliminates muscle cell FGF2 dependence for cultivated meat	
119	corpus_doi_duplicate	2024	10.3389/fbioe.2024.1443914	Attachment promoting compounds significantly enhance cell proliferation and purity of bovine satellite cells grown on microcarriers in the absence of serum	Serum-free microcarrier with attachment compounds	R025	10.3389/fbioe.2024.1443914	Attachment promoting compounds significantly enhance cell proliferation of bovine satellite cells on microcarriers in serum-free media	
137	queue_title_duplicate_missing_doi	2024		Targeting myostatin using quercetin as a media supplement to improve myogenesis for cultured meat production: An in silico and in vitro study	Media supplement for myogenesis		10.1016/j.crfs.2024.100678	Targeting myostatin using quercetin as a media supplement to improve myogenesis for cultured meat production: An in silico and in vitro study	125
144	corpus_doi_duplicate	2023	10.1111/1541-4337.13193	Systems biology and metabolic modeling for cultivated meat: A promising approach for cell culture media optimization and cost reduction	Media optimization via systems biology	R038	10.1111/1541-4337.13193	Systems biology and metabolic modeling for cultivated meat: A promising approach for cell culture media optimization and cost reduction	
148	corpus_doi_duplicate	2023	10.1016/j.scitotenv.2023.164988	Toward sustainable culture media: Using artificial intelligence to optimize reduced-serum formulations for cultivated meat	Reduced-serum media optimization for cell growth	R032	10.1016/j.scitotenv.2023.164988	Toward sustainable culture media: Using artificial intelligence to optimize reduced-serum formulations for cultivated meat	
151	corpus_doi_duplicate	2023	10.1016/j.foodres.2023.113194	A simple and robust serum-free media for the proliferation of muscle cells	Serum-free media for muscle cell proliferation	R021	10.1016/j.foodres.2023.113194	A simple and robust serum-free media for the proliferation of muscle cells	
156	corpus_doi_duplicate	2023	10.1038/s43016-022-00658-w	Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat	serum-free medium for immortalized fibroblasts	R033	10.1038/s43016-022-00658-w	Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat	
178	corpus_doi_duplicate	2023	10.3390/ani13111855	Influence of Media Composition on the Level of Bovine Satellite Cell Proliferation	Media composition for satellite cell proliferation	R023	10.3390/ani13111855	Influence of Media Composition on the Level of Bovine Satellite Cell Proliferation	
186	corpus_doi_duplicate	2022	10.1038/s43016-021-00419-1	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	Serum-free media for satellite cell differentiation	R018	10.1038/s43016-021-00419-1	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	
193	corpus_doi_duplicate	2022	10.3389/fbioe.2022.895289	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	Chemically defined serum-free medium for bovine satellite ce	R016	10.3389/fbioe.2022.895289	Development of a Chemically Defined Medium for in vitro Expansion of Primary Bovine Satellite Cells	
200	corpus_doi_duplicate	2021	10.1002/biot.202100228	Optimization of muscle cell culture media using nonlinear design of experiments	Optimizes muscle cell culture media	R031	10.1002/biot.202100228	Optimization of muscle cell culture media using nonlinear design of experiments	
208	corpus_doi_duplicate	2018	10.1038/s41598-018-28746-7	Maintaining bovine satellite cells stemness through p38 pathway	Maintains bovine satellite cell stemness	R029	10.1038/s41598-018-28746-7	Maintaining bovine satellite cells stemness through p38 pathway	
209	corpus_doi_duplicate	2018	10.1007/s10616-017-0101-8	Bovine myoblast cell production in a microcarriers-based system	Bovine myoblast culture on microcarriers	R026	10.1007/s10616-017-0101-8	Bovine myoblast cell production in a microcarriers-based system	
