review_id	priority	source_record_id	evidence_topic	field_to_verify	human_question	decision_impact	suggested_action	status
H001	P1	R015	Beefy-9 expansion benchmark	proliferation_endpoint; doubling_time; passages	Does the full paper support using Beefy-9/B8 plus recombinant albumin as the positive serum-free bovine expansion anchor, and what exact doubling-time/passaging claims should be recorded?	Sets positive control and minimum performance target for first experiment.	Extract exact formulation, dose levels, passage counts, doubling times, and myogenic marker results.	open
H002	P1	R015	FGF2 reduction in Beefy-9	FGF2_dose_range; growth_effect; morphology	What FGF2 concentrations were tested, which concentrations preserved short-term and long-term growth, and where did morphology suffer?	Determines whether FGF2 can be a first-round dose variable and the lower bound to test.	Record exact tested FGF2 range and classify safe/reduced/removal levels.	open
H003	P1	R015	Albumin dose and cost tradeoff	albumin_concentration; albumin_type; cost	Which recombinant albumin concentration and source were used in Beefy-9/Beefy-9+, and how did cost/performance change?	Defines albumin/substitute axis and control formulation.	Extract albumin source, g/L or mg/mL, and cost-performance notes.	open
H004	P1	R016	Chemically defined bovine medium formulation	component_list; dose_range; animal_free_status	Which components and concentrations made the Kolkmann chemically defined medium animal-free and effective for primary bovine satellite cell expansion?	Adds direct CD/AF formulation source beyond Beefy-9.	Extract full component table, supplements, attachment conditions, and endpoint values.	open
H005	P1	R016	Differentiation capacity after expansion	myogenic_identity; differentiation_capacity	Did cells expanded in the chemically defined medium retain differentiation capacity, and what marker/assay proves it?	Controls risk that expansion medium harms downstream meat-relevant phenotype.	Record markers, assay timing, and comparison condition.	open
H006	P1	R017	Commercial SFM benchmark	negative_evidence; serum_free_status	Which commercial chemically defined serum-free media supported primary bovine myoblast growth, and how did they compare with serum-containing medium?	Prevents overclaiming that any commercial SFM is adequate.	Record media names, 6-day proliferation data, morphology notes, and limitations.	open
H007	P1	R018	Serum-free differentiation guardrail	differentiation_endpoint; ligand_list	Which ligands/receptors enabled serum-free myogenic differentiation, and are any of these also plausible expansion-stage risks or constraints?	Defines identity-preservation check and later differentiation compatibility.	Extract IGF1R/TFRC/LPAR1-related ligands, markers, and whether expansion formulation should avoid differentiation induction.	open
H008	P1	R019	Species and cell-type dependence	cell_type_specificity; spent_media_features	Which consumed nutrients/metabolites differed by species/cell type, and which findings justify avoiding cross-species transfer?	Supports bovine-only first target and in-silico robustness checks.	Extract bovine-relevant spent-media findings and any reusable assay recommendations.	open
H009	P1	R020	Microalga/conditioned medium variable	composition_disclosure; algae_extract_dose; conditioned_medium	Can the microalga-derived nutrient and conditioned-medium system be decomposed into controllable, reproducible variables for first-round testing?	Determines whether algae/extract class enters first batch or remains exploratory.	Extract CVE dose, conditioned medium fraction, growth effect, and reproducibility caveats.	open
H010	P1	R021	DOE/RSM bovine SFM formulation	DOE_factors; optimized_levels; endpoint	What factors and levels were screened by DOE/RSM, and which optimized formulation should seed the search space?	Major source for bounded search-space ranges and interaction warnings.	Extract factor list, low/high levels, optimal recipe, response metrics, and validation data.	open
