paper_id	triage_category	is_core_for_modeling	main_track	target_product_type	quote_grounded	rationale	evidence_quote	error	model	run_id
a-circular-cell-culture-system-using-microalgae-and-mammalian-myoblasts-for-the	A	yes	medium	muscle	no	Directly addresses a core medium-centered challenge—replacing grain-derived nutrients and animal sera with microalgae-derived nutrients and waste-medium recycling—and provides quantitative proliferation data (4.0-fold amplification, nutrient extraction efficiency) that is extractable for modeling ci	C2C12 cells were amplified 4.0-fold after 48 h of culture in an RL34 cell-conditioned medium. ... The proliferation rates of C. littorale and C2C12 and the nutrient extraction efficiency from C. littorale were the same in the first and second cycles.		deepseek-chat	20260715T010026
a-novel-proliferation-synergy-factor-cocktail-maintains-proliferation-and-improv	A	yes	medium	muscle	no	Directly relevant to cultivated-meat medium development: presents a defined low-serum (5% FBS) cocktail (PSFC) with quantitative data on proliferation, transfection efficiency, 3D culture in GelMA, and 75% serum cost reduction, all extractable for medium optimization.	developed a novel proliferation synergy factor cocktail (PSFC) consisting of IGF-1, bFGF, TGF-β, IL-6, and G-CSF under low-serum (5% FBS) conditions... reducing serum costs by 75%		deepseek-chat	20260715T010026
a-review-on-the-safety-of-growth-factors-commonly-used-in-cultivated-meat-produc	A	yes	medium	general/platform	no	Directly addresses safety of growth factors in cultivated meat culture medium, providing extractable data on mode of action, bioavailability, occurrence in food, homology, and processing effects—core for medium-centered review.	Growth factors are commonly added to cell culture media in cellular agriculture to mimic the endogenous process of proliferation and differentiation of cells... Ten commonly used growth factors have been reviewed to include information on their mode of action, bioavailability, occurrence in food and		deepseek-chat	20260715T010026
a-serum-free-culture-medium-production-system-by-co-culture-combining-growth-fac	A	yes	medium	muscle	yes	Directly addresses serum-free culture medium production for cultivated meat using a co-culture system with growth factor-secreting cells and lactate-assimilating cyanobacteria, providing quantitative data on waste clearance and nutrient replenishment that supports myoblast proliferation.	The co-culture medium supported myoblast proliferation without medium dilution or additional nutrients, which was attributed to the waste clearance and nutrient replenishment effects of the KC0110 strain.		deepseek-chat	20260715T010026
a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A	yes	medium	muscle	no	Directly addresses a core medium-centered challenge for cultivated meat: development of a chemically defined, serum-free medium that supports bovine satellite cell differentiation without serum starvation, with extractable quantitative and mechanistic detail (RNA-seq, receptor-ligand supplementation	By supplementing agonists to upregulated surface receptors, we develop a chemically defined medium that can drive robust myogenic differentiation in the absence of serum starvation and/or transgene expression.		deepseek-chat	20260715T010026
a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells	A	yes	medium	muscle	yes	Directly develops and validates a simple, serum-free medium for muscle cell proliferation using DOE/RSM, with quantitative data on component concentrations and performance surpassing FBS, making it core for medium-centered extraction.	Here we formulated a media based on three highly optimized components; FGF2 (2 ng/mL), fetuin (600 µg/mL) and BSA (75 µg/mL) which together with an insulin-transferrin-selenium (1x) supplement, sustained the proliferation of bovine SCs, porcine SCs and murine C2C12 muscle cells. Remarkably, cells cu		deepseek-chat	20260715T010026
a-small-molecule-strategy-with-forskolin-and-p38-inhibitor-for-serum-free-muscle	A	yes	medium	muscle	yes	Directly addresses a core bottleneck in cultivated meat (serum-free medium) with quantitative proliferation data, mechanistic transcriptomic analysis, and a small-molecule formulation (Beefy-F + S) that is cost-effective and food-grade relevant.	Through a functional screening of proliferation activators in bovine muscle stem cells (bMuSCs), we identified forskolin and formulated the serum-free 'Beefy-F' medium. Over six passages, Beefy-F yielded 1.9 times more bMuSCs than the basal serum-free control (Beefy-9), matching serum-controlled lev		deepseek-chat	20260715T010026
addressing-hurdles-in-cultured-meat-by-exploring-reduced-myogenesis-after-bovine	A	yes	medium	muscle	no	Directly addresses a core technological hurdle in cultivated meat production—loss of myogenic differentiation capacity after extensive expansion of primary bovine myoblasts—with quantitative data on population doublings, fusion indexes, and transcriptomic/proteomic analyses. The paper is medium-cent	This study tests these limitations in primary cells from fetal and adult bovine donors. Bovine myoblasts are expanded past 30 doublings and characterized for CD56 expression, senescence, and myogenic differentiation capacity. ... Differential transcriptomic and proteomic analyses of adult myoblasts 		deepseek-chat	20260715T010026
attachment-promoting-compounds-significantly-enhance-cell-proliferation-and-puri	A	yes	bioprocess	muscle	no	Directly addresses serum-free culture of bovine satellite cells on microcarriers with quantitative evaluation of attachment-promoting compounds (vitronectin, laminin, fibronectin), which is core to medium-centered cultivated meat technology.	we aimed to find suitable serum-free media, MCs and attachment promoting compounds (APCs) supporting the growth of bSCs... Our results showed that Cytodex 1, Synthemax II and CellBIND supported bSCs’ growth in all serum-free media... the use of laminin or vitronectin with Cytodex 1 can significantly		deepseek-chat	20260715T010026
black-soldier-fly-bioconversion-to-cultivated-meat-media-components-using-blue-c	A	yes	medium	seafood	yes	Directly addresses low-cost culture medium development for cultivated seafood using insect-derived hydrolysates fermented with fish gut microbiome, with quantitative data on hydrolysis degree and cell proliferation effects, making it core for medium-centered extraction.	Developing low-cost media is one of the major challenges in the cellular agriculture domain... the effect of fermented hydrolysates from BSFL on the proliferation of zebrafish embryo fibroblasts was tested in comparison to fetal bovine serum (FBS) in in vitro cell cultivation.		deepseek-chat	20260715T010026
bladder-organoid-conditioned-media-enhances-myoblast-proliferation-under-serum-f	A	yes	medium	muscle	no	Directly addresses serum-free medium development for cultivated meat using organoid-conditioned media, provides quantitative proliferation data on C2C12 and primary bovine myoblasts, and includes mechanistic analysis (RNA-seq, cell cycle, IGF-1 neutralization).	MBOS significantly promoted the proliferation of primary bovine myoblasts, suggesting its cross-species applicability. These findings suggest that MBOS is a promising candidate for FBS-free culture media with the potential to produce cultured meat.		deepseek-chat	20260715T010026
