record_id	priority	decision	source_type	title	year	doi	url	species	cell_type	stage	medium_focus	dose_or_quant	endpoints	why_included	review_status
R001	P1	context	review	Cell culture media for cultivated meat: Review and perspectives on first principles design to drive cost-effective scale-up	2026	10.1016/j.fufo.2026.100908	https://www.sciencedirect.com/science/article/pii/S2666833526000109	multiple	satellite cells; adipocytes	multiple	serum-free medium; cost-effective scale-up; first-principles design	yes, review-level cost ranges	cost; proliferation; differentiation	Recent medium-specific review; frames medium as major cost driver and supports first-principles scope.	needs_full_text_check
R002	P1	context	review	Rational design of serum-free media for cultivated meat	2026	10.1038/s44222-026-00428-4	https://www.nature.com/articles/s44222-026-00428-4	multiple	multiple	multiple	serum-free medium; multi-omics; computational modeling	unknown	cost; cell-line-specific medium design	Recent Nature Reviews Bioengineering article directly aligned with rational SFM design.	needs_full_text_check
R003	P1	context	review	Technological Advances and the Challenges for Large-Scale Cultured Meat Production	2026	10.1146/annurev-food-053124-085815	https://www.annualreviews.org/content/journals/10.1146/annurev-food-053124-085815	multiple	multiple	multiple	medium formulations; scale-up; bioreactors; tissue formation	review-level	challenges; safety; scale-up	Authoritative overview; helps keep bioreactor/scaffold topics out of first medium-only round.	needs_full_text_check
R004	P1	context	review	Advances and Challenges in Cell Biology for Cultured Meat	2024	10.1146/annurev-animal-021022-055132	https://www.annualreviews.org/content/journals/10.1146/annurev-animal-021022-055132	multiple	stem cells; satellite cells	multiple	proliferation; differentiation; cell-biomaterial interactions	review-level	proliferation; differentiation; identity	Authoritative cell-biology review; supports preserving myogenic identity as a gate.	needs_full_text_check
R005	P1	context	review	Exploring cost reduction strategies for serum free media development	2024	10.1038/s41538-024-00352-0	https://www.nature.com/articles/s41538-024-00352-0	multiple	multiple	expansion	serum-free media; growth factors; recombinant proteins; basal media; recycling	yes, cost contributions	cost; proliferation	Core cost-reduction review; supports focusing on FGF2, albumin, insulin/transferrin, basal media, recycling later.	needs_full_text_check
R006	P1	context	review	Considerations for the development of cost-effective cell culture media for cultivated meat production	2021	10.1111/1541-4337.12678	https://pubmed.ncbi.nlm.nih.gov/33325139/	multiple	muscle cells	multiple	food-grade; low-cost; proliferation and differentiation; animal-free	review-level	cost; food-grade; proliferation; differentiation	Foundational medium review; defines success attributes for cultivated-meat media.	needs_full_text_check
R007	P2	context	review	Artificial intelligence and machine learning applications for cultured meat	2024	10.3389/frai.2024.1424012	https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1424012/full	multiple	multiple	multiple	ML for media design; microscopy; bioprocess optimization	review-level	optimization; dataset availability	Supports using ML/BO as experiment reducer, not as replacement for wet-lab validation.	needs_full_text_check
R008	P2	context	review	Serum-free media for cultured meat: insights into protein hydrolysates as proliferation enhancers	2025	10.1016/j.foodres.2025.117016	https://www.sciencedirect.com/science/article/abs/pii/S0963996925013547	multiple	myoblasts; satellite cells	expansion; differentiation	protein hydrolysates; plant; yeast; algae; fish; insect	yes, review-level source classes	proliferation; differentiation; cost	Useful for hydrolysate/extract variable class; evidence must be species-matched before first wet-lab inclusion.	needs_full_text_check
R009	P2	context	review	Fetal bovine serum: how to leave it behind in the pursuit of more reliable science	2025	10.3389/ftox.2025.1612903	https://www.frontiersin.org/journals/toxicology/articles/10.3389/ftox.2025.1612903/full	multiple	multiple	multiple	serum-free; animal-component-free; chemically defined nomenclature	review-level	reproducibility; safety; animal-origin status	Defines SF, ACF, CD distinctions used in manifest and wet-lab gate.	needs_full_text_check
R010	P2	context	review	Standardising Culture Medium Safety Testing for Cultivated Meat: Outputs from a Workshop and Case Study	2026	10.3390/foods15040783	https://www.mdpi.com/2304-8158/15/4/783	multiple	myosatellite cells; cultivated meat cells	production; harvest	medium residues; growth factor quantification; safety testing	yes, analytical methods	safety; residues; regulatory readiness	Supports residue/safety annotations before wet-lab-to-product claims.	needs_full_text_check
